21_13_00-21_13_00,"{'status': 1, 'status_desc': '畅通'}"
21_05_31-21_05_31,"{'status': 1, 'status_desc': '畅通'}"
21_05_38-21_05_38,"{'status': 1, 'status_desc': '畅通'}"
21_05_44-21_05_44,"{'status': 1, 'status_desc': '畅通'}"
21_05_49-21_05_49,"{'status': 1, 'status_desc': '畅通'}"
21_05_55-21_05_55,"{'status': 1, 'status_desc': '畅通'}"
21_06_00-21_06_00,"{'status': 1, 'status_desc': '畅通'}"
21_06_24-21_06_24,"{'status': 1, 'status_desc': '畅通'}"
21_06_38-21_06_38,"{'status': 2, 'status_desc': '轻微拥堵'}"
21_06_45-21_06_45,"{'status': 1, 'status_desc': '畅通'}"
21_06_51-21_06_51,"{'status': 1, 'status_desc': '畅通'}"
21_06_56-21_06_56,"{'status': 2, 'status_desc': '轻微拥堵'}"
21_08_28-21_08_28,"{'status': 2, 'status_desc': '轻微拥堵'}"
